,flow_cfs
1994-05-12,6308.0
1994-05-13,7369.0
1994-05-14,6264.0
1994-05-15,6342.0
1994-05-16,4801.0
1994-05-17,3206.0
1994-05-18,3727.0
1994-05-19,3455.0
1994-05-20,3093.0
1994-05-21,3996.0
1994-05-22,3519.0
1994-05-23,3720.0
1994-05-24,4556.0
1994-05-25,4106.0
1994-05-26,4696.0
1994-05-27,4765.0
1994-05-28,5418.0
1994-05-29,3941.0
1994-05-30,5037.0
1994-05-31,6316.0
1994-06-01,5350.0
1994-06-02,4354.0
1994-06-03,4186.0
1994-06-04,3953.0
1994-06-05,2862.0
1994-06-06,2884.0
1994-06-07,3059.0
1994-06-08,2363.0
1994-06-09,2686.0
1994-06-10,2226.0
1994-06-11,2066.0
1994-06-12,2828.0
1994-06-13,2298.0
1994-06-14,1725.0
1994-06-15,1807.0
1994-06-16,1286.0
1994-06-17,1199.0
1994-06-18,1101.0
1994-06-19,1196.0
1994-06-20,829.0
1994-06-21,1038.0
1994-06-22,1176.0
1994-06-23,338.0
1994-06-24,1118.0
1994-06-25,400.0
1994-06-26,1254.0
1994-06-27,588.0
1994-06-28,557.0
1994-06-29,622.0
1994-06-30,651.0
1994-07-01,50.0
1994-07-02,50.0
1994-07-03,50.0
1994-07-04,50.0
1994-07-05,50.0
1994-07-06,50.0
1994-07-07,50.0
1994-07-08,50.0
1994-07-09,50.0
1994-07-10,50.0
1994-07-11,50.0
1994-07-12,50.0
1994-07-13,50.0
1994-07-14,50.0
1994-07-15,50.0
1994-07-16,50.0
1994-07-17,50.0
1994-07-18,50.0
1994-07-19,50.0
1994-07-20,50.0
1994-07-21,50.0
1994-07-22,50.0
1994-07-23,50.0
1994-07-24,50.0
1994-07-25,50.0
1994-07-26,50.0
1994-07-27,50.0
1994-07-28,50.0
1994-07-29,50.0
1994-07-30,50.0
1994-07-31,50.0
1994-08-01,50.0
1994-08-02,50.0
1994-08-03,50.0
1994-08-04,50.0
1994-08-05,50.0
1994-08-06,50.0
1994-08-07,50.0
1994-08-08,50.0
1994-08-09,50.0
1994-08-10,50.0
1994-08-11,50.0
1994-08-12,50.0
1994-08-13,50.0
1994-08-14,50.0
1994-08-15,50.0
1994-08-16,50.0
1994-08-17,50.0
1994-08-18,50.0
1994-08-19,50.0
1994-08-20,50.0
1994-08-21,50.0
1994-08-22,50.0
1994-08-23,50.0
1994-08-24,50.0
1994-08-25,50.0
1994-08-26,50.0
1994-08-27,50.0
1994-08-28,50.0
1994-08-29,50.0
1994-08-30,50.0
1994-08-31,50.0
1994-09-01,50.0
1994-09-02,50.0
1994-09-03,50.0
1994-09-04,50.0
1994-09-05,50.0
1994-09-06,50.0
1994-09-07,50.0
1994-09-08,50.0
1994-09-09,50.0
1994-09-10,50.0
1994-09-11,50.0
1994-09-12,50.0
1994-09-13,50.0
1994-09-14,50.0
1994-09-15,50.0
1994-09-16,50.0
1994-09-17,50.0
1994-09-18,50.0
1994-09-19,50.0
1994-09-20,50.0
1994-09-21,50.0
1994-09-22,50.0
1994-09-23,50.0
1994-09-24,50.0
1994-09-25,50.0
1994-09-26,50.0
1994-09-27,50.0
1994-09-28,50.0
1994-09-29,50.0
1994-09-30,50.0
1994-10-01,300.0
1994-10-02,300.0
1994-10-03,300.0
1994-10-04,300.0
1994-10-05,300.0
1994-10-06,300.0
1994-10-07,300.0
1994-10-08,300.0
1994-10-09,300.0
1994-10-10,300.0
1994-10-11,300.0
1994-10-12,300.0
1994-10-13,300.0
1994-10-14,300.0
1994-10-15,300.0
1994-10-16,507.5508607
1994-10-17,507.5508607
1994-10-18,507.5508607
1994-10-19,300.0
1994-10-20,300.0
1994-10-21,300.0
1994-10-22,300.0
1994-10-23,300.0
1994-10-24,300.0
1994-10-25,300.0
1994-10-26,300.0
1994-10-27,300.0
1994-10-28,300.0
1994-10-29,300.0
1994-10-30,300.0
1994-10-31,300.0
1994-11-01,300.0
1994-11-02,300.0
1994-11-03,300.0
1994-11-04,300.0
1994-11-05,300.0
1994-11-06,300.0
1994-11-07,300.0
1994-11-08,300.0
1994-11-09,300.0
1994-11-10,300.0
1994-11-11,300.0
1994-11-12,300.0
1994-11-13,300.0
1994-11-14,300.0
1994-11-15,300.0
1994-11-16,300.0
1994-11-17,300.0
1994-11-18,300.0
1994-11-19,300.0
1994-11-20,300.0
1994-11-21,300.0
1994-11-22,300.0
1994-11-23,300.0
1994-11-24,300.0
1994-11-25,300.0
1994-11-26,300.0
1994-11-27,300.0
1994-11-28,300.0
1994-11-29,300.0
1994-11-30,300.0
1994-12-01,300.0
1994-12-02,300.0
1994-12-03,300.0
1994-12-04,300.0
1994-12-05,300.0
1994-12-06,300.0
1994-12-07,300.0
1994-12-08,300.0
1994-12-09,300.0
1994-12-10,300.0
1994-12-11,300.0
1994-12-12,300.0
1994-12-13,300.0
1994-12-14,300.0
1994-12-15,300.0
1994-12-16,300.0
1994-12-17,300.0
1994-12-18,300.0
1994-12-19,300.0
1994-12-20,300.0
1994-12-21,300.0
1994-12-22,300.0
1994-12-23,300.0
1994-12-24,300.0
1994-12-25,300.0
1994-12-26,300.0
1994-12-27,300.0
1994-12-28,300.0
1994-12-29,300.0
1994-12-30,300.0
1994-12-31,300.0
1995-01-01,300.0
1995-01-02,300.0
1995-01-03,300.0
1995-01-04,300.0
1995-01-05,300.0
1995-01-06,300.0
1995-01-07,300.0
1995-01-08,300.0
1995-01-09,300.0
1995-01-10,300.0
1995-01-11,300.0
1995-01-12,300.0
1995-01-13,300.0
1995-01-14,300.0
1995-01-15,300.0
1995-01-16,300.0
1995-01-17,300.0
1995-01-18,300.0
1995-01-19,300.0
1995-01-20,300.0
1995-01-21,300.0
1995-01-22,300.0
1995-01-23,300.0
1995-01-24,300.0
1995-01-25,300.0
1995-01-26,300.0
1995-01-27,300.0
1995-01-28,300.0
1995-01-29,300.0
1995-01-30,300.0
1995-01-31,300.0
1995-02-01,3983.0
1995-02-02,3392.0
1995-02-03,3181.0
1995-02-04,3834.0
1995-02-05,3130.0
1995-02-06,2931.0
1995-02-07,3068.0
1995-02-08,2900.0
1995-02-09,2693.0
1995-02-10,2246.0
1995-02-11,2157.0
1995-02-12,1950.0
1995-02-13,2251.0
1995-02-14,2989.0
1995-02-15,2020.0
1995-02-16,1738.0
1995-02-17,1230.0
1995-02-18,1913.0
1995-02-19,2102.0
1995-02-20,2372.0
1995-02-21,1717.0
1995-02-22,2515.0
1995-02-23,2487.0
1995-02-24,3446.0
1995-02-25,3173.0
1995-02-26,3181.0
1995-02-27,2783.0
1995-02-28,2847.0
1995-03-01,2714.0
1995-03-02,3233.0
1995-03-03,6579.0
1995-03-04,5473.0
1995-03-05,3572.0
1995-03-06,3178.0
1995-03-07,2899.0
1995-03-08,2396.0
1995-03-09,13502.0
1995-03-10,47141.0
1995-03-11,38869.0
1995-03-12,15749.0
1995-03-13,9209.0
1995-03-14,7479.0
1995-03-15,8614.0
1995-03-16,7374.0
1995-03-17,6153.0
1995-03-18,5535.0
1995-03-19,8249.0
1995-03-20,9012.0
1995-03-21,13383.0
1995-03-22,13455.0
1995-03-23,13900.0
1995-03-24,8920.0
1995-03-25,7163.0
1995-03-26,5721.0
1995-03-27,6200.0
1995-03-28,6063.0
1995-03-29,4009.0
1995-03-30,4531.0
1995-03-31,2158.0
1995-04-01,7433.0
1995-04-02,6635.0
1995-04-03,5092.0
1995-04-04,5496.0
1995-04-05,5915.0
1995-04-06,6691.0
1995-04-07,7660.0
1995-04-08,7610.0
1995-04-09,6049.0
1995-04-10,5579.0
1995-04-11,4796.0
1995-04-12,5324.0
1995-04-13,7431.0
1995-04-14,6864.0
1995-04-15,5978.0
1995-04-16,5048.0
1995-04-17,4631.0
1995-04-18,4759.0
1995-04-19,4126.0
1995-04-20,3683.0
1995-04-21,4579.0
1995-04-22,3780.0
1995-04-23,3926.0
1995-04-24,4868.0
1995-04-25,6146.0
1995-04-26,6951.0
1995-04-27,8473.0
1995-04-28,11984.0
1995-04-29,16594.0
1995-04-30,22311.0
1995-05-01,26768.0
1995-05-02,19496.0
1995-05-03,12524.0
1995-05-04,10408.0
1995-05-05,11494.0
1995-05-06,9397.0
1995-05-07,7878.0
1995-05-08,6502.0
1995-05-09,7197.0
1995-05-10,8025.0
1995-05-11,8401.0
1995-05-12,8784.0
1995-05-13,10177.0
1995-05-14,7533.0
1995-05-15,7309.0
1995-05-16,6392.0
1995-05-17,6154.0
1995-05-18,7456.0
1995-05-19,9785.0
1995-05-20,11285.0
1995-05-21,12251.0
1995-05-22,12518.0
1995-05-23,11003.0
1995-05-24,10264.0
1995-05-25,9561.0
1995-05-26,9102.0
1995-05-27,10635.0
1995-05-28,12398.0
1995-05-29,12699.0
1995-05-30,13897.0
1995-05-31,14561.0
1995-06-01,14719.0
1995-06-02,18019.0
1995-06-03,14824.0
1995-06-04,15848.0
1995-06-05,17867.0
1995-06-06,14805.0
1995-06-07,10162.0
1995-06-08,7912.0
1995-06-09,7129.0
1995-06-10,8354.0
1995-06-11,12226.0
1995-06-12,15757.0
1995-06-13,16158.0
1995-06-14,15717.0
1995-06-15,14566.0
1995-06-16,10443.0
1995-06-17,7534.0
1995-06-18,7019.0
1995-06-19,9390.0
1995-06-20,9995.0
1995-06-21,9866.0
1995-06-22,10855.0
1995-06-23,12718.0
1995-06-24,15509.0
1995-06-25,16617.0
1995-06-26,18675.0
1995-06-27,16890.0
1995-06-28,17991.0
1995-06-29,16753.0
1995-06-30,14997.0
1995-07-01,250.0
1995-07-02,250.0
1995-07-03,250.0
1995-07-04,250.0
1995-07-05,250.0
1995-07-06,250.0
1995-07-07,250.0
1995-07-08,250.0
1995-07-09,250.0
1995-07-10,250.0
1995-07-11,250.0
1995-07-12,250.0
1995-07-13,250.0
1995-07-14,250.0
1995-07-15,250.0
1995-07-16,250.0
1995-07-17,250.0
1995-07-18,250.0
1995-07-19,250.0
1995-07-20,250.0
1995-07-21,250.0
1995-07-22,250.0
1995-07-23,250.0
1995-07-24,250.0
1995-07-25,250.0
1995-07-26,250.0
1995-07-27,250.0
1995-07-28,250.0
1995-07-29,250.0
1995-07-30,250.0
1995-07-31,250.0
1995-08-01,250.0
1995-08-02,250.0
1995-08-03,250.0
1995-08-04,250.0
1995-08-05,250.0
1995-08-06,250.0
1995-08-07,250.0
1995-08-08,250.0
1995-08-09,250.0
1995-08-10,250.0
1995-08-11,250.0
1995-08-12,250.0
1995-08-13,250.0
1995-08-14,250.0
1995-08-15,250.0
1995-08-16,250.0
1995-08-17,250.0
1995-08-18,250.0
1995-08-19,250.0
1995-08-20,250.0
1995-08-21,250.0
1995-08-22,250.0
1995-08-23,250.0
1995-08-24,250.0
1995-08-25,250.0
1995-08-26,250.0
1995-08-27,250.0
1995-08-28,250.0
1995-08-29,250.0
1995-08-30,250.0
1995-08-31,250.0
1995-09-01,250.0
1995-09-02,250.0
1995-09-03,250.0
1995-09-04,250.0
1995-09-05,250.0
1995-09-06,250.0
1995-09-07,250.0
1995-09-08,250.0
1995-09-09,250.0
1995-09-10,250.0
1995-09-11,250.0
1995-09-12,250.0
1995-09-13,250.0
1995-09-14,250.0
1995-09-15,250.0
1995-09-16,250.0
1995-09-17,250.0
1995-09-18,250.0
1995-09-19,250.0
1995-09-20,250.0
1995-09-21,250.0
1995-09-22,250.0
1995-09-23,250.0
1995-09-24,250.0
1995-09-25,250.0
1995-09-26,250.0
1995-09-27,250.0
1995-09-28,250.0
1995-09-29,250.0
1995-09-30,250.0
1995-10-01,300.0
1995-10-02,300.0
1995-10-03,300.0
1995-10-04,300.0
1995-10-05,300.0
1995-10-06,300.0
1995-10-07,300.0
1995-10-08,300.0
1995-10-09,300.0
1995-10-10,300.0
1995-10-11,300.0
1995-10-12,300.0
1995-10-13,300.0
1995-10-14,300.0
1995-10-15,300.0
1995-10-16,507.5508607
1995-10-17,507.5508607
1995-10-18,507.5508607
1995-10-19,300.0
1995-10-20,300.0
1995-10-21,300.0
1995-10-22,300.0
1995-10-23,300.0
1995-10-24,300.0
1995-10-25,300.0
1995-10-26,300.0
1995-10-27,300.0
1995-10-28,300.0
1995-10-29,300.0
1995-10-30,300.0
1995-10-31,300.0
1995-11-01,300.0
1995-11-02,300.0
1995-11-03,300.0
1995-11-04,300.0
1995-11-05,300.0
1995-11-06,300.0
1995-11-07,300.0
1995-11-08,300.0
1995-11-09,300.0
1995-11-10,300.0
1995-11-11,300.0
1995-11-12,300.0
1995-11-13,300.0
1995-11-14,300.0
1995-11-15,300.0
1995-11-16,300.0
1995-11-17,300.0
1995-11-18,300.0
1995-11-19,300.0
1995-11-20,300.0
1995-11-21,300.0
1995-11-22,300.0
1995-11-23,300.0
1995-11-24,300.0
1995-11-25,300.0
1995-11-26,300.0
1995-11-27,300.0
1995-11-28,300.0
1995-11-29,300.0
1995-11-30,300.0
1995-12-01,300.0
1995-12-02,300.0
1995-12-03,300.0
1995-12-04,300.0
1995-12-05,300.0
1995-12-06,300.0
1995-12-07,300.0
1995-12-08,300.0
1995-12-09,300.0
1995-12-10,300.0
1995-12-11,300.0
1995-12-12,300.0
1995-12-13,300.0
1995-12-14,300.0
1995-12-15,300.0
1995-12-16,300.0
1995-12-17,300.0
1995-12-18,300.0
1995-12-19,300.0
1995-12-20,300.0
1995-12-21,300.0
1995-12-22,300.0
1995-12-23,300.0
1995-12-24,300.0
1995-12-25,300.0
1995-12-26,300.0
1995-12-27,300.0
1995-12-28,300.0
1995-12-29,300.0
1995-12-30,300.0
1995-12-31,300.0
1996-01-01,300.0
1996-01-02,300.0
1996-01-03,300.0
1996-01-04,300.0
1996-01-05,300.0
1996-01-06,300.0
1996-01-07,300.0
1996-01-08,300.0
1996-01-09,300.0
1996-01-10,300.0
1996-01-11,300.0
1996-01-12,300.0
1996-01-13,300.0
1996-01-14,300.0
1996-01-15,300.0
1996-01-16,300.0
1996-01-17,300.0
1996-01-18,300.0
1996-01-19,300.0
1996-01-20,300.0
1996-01-21,300.0
1996-01-22,300.0
1996-01-23,300.0
1996-01-24,300.0
1996-01-25,300.0
1996-01-26,300.0
1996-01-27,300.0
1996-01-28,300.0
1996-01-29,300.0
1996-01-30,300.0
1996-01-31,300.0
1996-02-01,2590.0
1996-02-02,1926.0
1996-02-03,2059.0
1996-02-04,11980.0
1996-02-05,21828.0
1996-02-06,10085.0
1996-02-07,6250.0
1996-02-08,5368.0
1996-02-09,4675.0
1996-02-10,4040.0
1996-02-11,3532.0
1996-02-12,3420.0
1996-02-13,3361.0
1996-02-14,3774.0
1996-02-15,3072.0
1996-02-16,4105.0
1996-02-17,4634.0
1996-02-18,3830.0
1996-02-19,14256.0
1996-02-20,12522.0
1996-02-21,12406.0
1996-02-22,8453.0
1996-02-23,5655.0
1996-02-24,5356.0
1996-02-25,3993.0
1996-02-26,3835.0
1996-02-27,3845.0
1996-02-28,2591.0
1996-02-29,3122.0
1996-03-01,2484.0
1996-03-02,2939.0
1996-03-03,3237.0
1996-03-04,9100.0
1996-03-05,11398.0
1996-03-06,6373.0
1996-03-07,4795.0
1996-03-08,4449.0
1996-03-09,4233.0
1996-03-10,4643.0
1996-03-11,4953.0
1996-03-12,6971.0
1996-03-13,5207.0
1996-03-14,4404.0
1996-03-15,4330.0
1996-03-16,3519.0
1996-03-17,4686.0
1996-03-18,5510.0
1996-03-19,5450.0
1996-03-20,5578.0
1996-03-21,5845.0
1996-03-22,4971.0
1996-03-23,4405.0
1996-03-24,3448.0
1996-03-25,3510.0
1996-03-26,3640.0
1996-03-27,2939.0
1996-03-28,4795.0
1996-03-29,3919.0
1996-03-30,3483.0
1996-03-31,2928.0
1996-04-01,5107.0
1996-04-02,6003.0
1996-04-03,4332.0
1996-04-04,3860.0
1996-04-05,3730.0
1996-04-06,4310.0
1996-04-07,5015.0
1996-04-08,6108.0
1996-04-09,5978.0
1996-04-10,6328.0
1996-04-11,5237.0
1996-04-12,4996.0
1996-04-13,4568.0
1996-04-14,3958.0
1996-04-15,5541.0
1996-04-16,7390.0
1996-04-17,6462.0
1996-04-18,5168.0
1996-04-19,4837.0
1996-04-20,4005.0
1996-04-21,2676.0
1996-04-22,3702.0
1996-04-23,3990.0
1996-04-24,5744.0
1996-04-25,6538.0
1996-04-26,9092.0
1996-04-27,8858.0
1996-04-28,7682.0
1996-04-29,7530.0
1996-04-30,9384.0
1996-05-01,10514.0
1996-05-02,10376.0
1996-05-03,9363.0
1996-05-04,8026.0
1996-05-05,7635.0
1996-05-06,8043.0
1996-05-07,7479.0
1996-05-08,6978.0
1996-05-09,6800.0
1996-05-10,7955.0
1996-05-11,9502.0
1996-05-12,10510.0
1996-05-13,11856.0
1996-05-14,11274.0
1996-05-15,17301.0
1996-05-16,37270.0
1996-05-17,12345.0
1996-05-18,16283.0
1996-05-19,9979.0
1996-05-20,6866.0
1996-05-21,7049.0
1996-05-22,6297.0
1996-05-23,6541.0
1996-05-24,4512.0
1996-05-25,4247.0
1996-05-26,5148.0
1996-05-27,6430.0
1996-05-28,5907.0
1996-05-29,6262.0
1996-05-30,5998.0
1996-05-31,6575.0
1996-06-01,7191.0
1996-06-02,9470.0
1996-06-03,10001.0
1996-06-04,10585.0
1996-06-05,10212.0
1996-06-06,10050.0
1996-06-07,10938.0
1996-06-08,10221.0
1996-06-09,8782.0
1996-06-10,8268.0
1996-06-11,7498.0
1996-06-12,7267.0
1996-06-13,7804.0
1996-06-14,7008.0
1996-06-15,6325.0
1996-06-16,5906.0
1996-06-17,5893.0
1996-06-18,5327.0
1996-06-19,4919.0
1996-06-20,5371.0
1996-06-21,4294.0
1996-06-22,4252.0
1996-06-23,3689.0
1996-06-24,3847.0
1996-06-25,4165.0
1996-06-26,3604.0
1996-06-27,3420.0
1996-06-28,2749.0
1996-06-29,2785.0
1996-06-30,2886.0
1996-07-01,250.0
1996-07-02,250.0
1996-07-03,250.0
1996-07-04,250.0
1996-07-05,250.0
1996-07-06,250.0
1996-07-07,250.0
1996-07-08,250.0
1996-07-09,250.0
1996-07-10,250.0
1996-07-11,250.0
1996-07-12,250.0
1996-07-13,250.0
1996-07-14,250.0
1996-07-15,250.0
1996-07-16,250.0
1996-07-17,250.0
1996-07-18,250.0
1996-07-19,250.0
1996-07-20,250.0
1996-07-21,250.0
1996-07-22,250.0
1996-07-23,250.0
1996-07-24,250.0
1996-07-25,250.0
1996-07-26,250.0
1996-07-27,250.0
1996-07-28,250.0
1996-07-29,250.0
1996-07-30,250.0
1996-07-31,250.0
1996-08-01,250.0
1996-08-02,250.0
1996-08-03,250.0
1996-08-04,250.0
1996-08-05,250.0
1996-08-06,250.0
1996-08-07,250.0
1996-08-08,250.0
1996-08-09,250.0
1996-08-10,250.0
1996-08-11,250.0
1996-08-12,250.0
1996-08-13,250.0
1996-08-14,250.0
1996-08-15,250.0
1996-08-16,250.0
1996-08-17,250.0
1996-08-18,250.0
1996-08-19,250.0
1996-08-20,250.0
1996-08-21,250.0
1996-08-22,250.0
1996-08-23,250.0
1996-08-24,250.0
1996-08-25,250.0
1996-08-26,250.0
1996-08-27,250.0
1996-08-28,250.0
1996-08-29,250.0
1996-08-30,250.0
1996-08-31,250.0
1996-09-01,250.0
1996-09-02,250.0
1996-09-03,250.0
1996-09-04,250.0
1996-09-05,250.0
1996-09-06,250.0
1996-09-07,250.0
1996-09-08,250.0
1996-09-09,250.0
1996-09-10,250.0
1996-09-11,250.0
1996-09-12,250.0
1996-09-13,250.0
1996-09-14,250.0
1996-09-15,250.0
1996-09-16,250.0
1996-09-17,250.0
1996-09-18,250.0
1996-09-19,250.0
1996-09-20,250.0
1996-09-21,250.0
1996-09-22,250.0
1996-09-23,250.0
1996-09-24,250.0
1996-09-25,250.0
1996-09-26,250.0
1996-09-27,250.0
1996-09-28,250.0
1996-09-29,250.0
1996-09-30,250.0
1996-10-01,300.0
1996-10-02,300.0
1996-10-03,300.0
1996-10-04,300.0
1996-10-05,300.0
1996-10-06,300.0
1996-10-07,300.0
1996-10-08,300.0
1996-10-09,300.0
1996-10-10,300.0
1996-10-11,300.0
1996-10-12,300.0
1996-10-13,300.0
1996-10-14,300.0
1996-10-15,300.0
1996-10-16,507.5508607
1996-10-17,507.5508607
1996-10-18,507.5508607
1996-10-19,300.0
1996-10-20,300.0
1996-10-21,300.0
1996-10-22,300.0
1996-10-23,300.0
1996-10-24,300.0
1996-10-25,300.0
1996-10-26,300.0
1996-10-27,300.0
1996-10-28,300.0
1996-10-29,300.0
1996-10-30,300.0
1996-10-31,300.0
1996-11-01,300.0
1996-11-02,300.0
1996-11-03,300.0
1996-11-04,300.0
1996-11-05,300.0
1996-11-06,300.0
1996-11-07,300.0
1996-11-08,300.0
1996-11-09,300.0
1996-11-10,300.0
1996-11-11,300.0
1996-11-12,300.0
1996-11-13,300.0
1996-11-14,300.0
1996-11-15,300.0
1996-11-16,300.0
1996-11-17,300.0
1996-11-18,300.0
1996-11-19,300.0
1996-11-20,300.0
1996-11-21,300.0
1996-11-22,300.0
1996-11-23,300.0
1996-11-24,300.0
1996-11-25,300.0
1996-11-26,300.0
1996-11-27,300.0
1996-11-28,300.0
1996-11-29,300.0
1996-11-30,300.0
1996-12-01,300.0
1996-12-02,300.0
1996-12-03,300.0
1996-12-04,300.0
1996-12-05,300.0
1996-12-06,300.0
1996-12-07,300.0
1996-12-08,300.0
1996-12-09,300.0
1996-12-10,300.0
1996-12-11,300.0
1996-12-12,300.0
1996-12-13,300.0
1996-12-14,300.0
1996-12-15,300.0
1996-12-16,300.0
1996-12-17,300.0
1996-12-18,300.0
1996-12-19,300.0
1996-12-20,300.0
1996-12-21,300.0
1996-12-22,300.0
1996-12-23,300.0
1996-12-24,300.0
1996-12-25,300.0
1996-12-26,300.0
1996-12-27,300.0
1996-12-28,300.0
1996-12-29,300.0
1996-12-30,300.0
1996-12-31,300.0
1997-01-01,300.0
1997-01-02,300.0
1997-01-03,300.0
1997-01-04,300.0
1997-01-05,300.0
1997-01-06,300.0
1997-01-07,300.0
1997-01-08,300.0
1997-01-09,300.0
1997-01-10,300.0
1997-01-11,300.0
1997-01-12,300.0
1997-01-13,300.0
1997-01-14,300.0
1997-01-15,300.0
1997-01-16,300.0
1997-01-17,300.0
1997-01-18,300.0
1997-01-19,300.0
1997-01-20,300.0
1997-01-21,300.0
1997-01-22,300.0
1997-01-23,300.0
1997-01-24,300.0
1997-01-25,300.0
1997-01-26,300.0
1997-01-27,300.0
1997-01-28,300.0
1997-01-29,300.0
1997-01-30,300.0
1997-01-31,300.0
1997-02-01,5306.0
1997-02-02,4664.0
1997-02-03,4468.0
1997-02-04,3877.0
1997-02-05,3841.0
1997-02-06,2813.0
1997-02-07,1089.0
1997-02-08,6263.0
1997-02-09,2726.0
1997-02-10,3209.0
